Store,MAPE,RMSE
1,0.02943517620979389,63648.583343486695
2,0.025582232776933396,69676.51549263898
3,0.033284146374531046,18409.325135129056
4,0.018045849852233772,48546.872025424156
5,0.025252462594416065,10070.285657849592
6,0.028721815807981537,60629.25291711204
7,0.052247503103892146,37227.09272717491
8,0.02816276309577708,33497.25025970848
9,0.03156932485282499,21096.11485012949
10,0.019243982292074684,49619.09269359597
11,0.02908065374337635,49063.38355430659
12,0.027631500783047696,33756.794037790576
13,0.016514735128402354,43424.20556730197
14,0.20114769267800509,339245.52098130254
15,0.036040512132653524,27062.20076442368
16,0.037722497293739055,23310.25916311177
17,0.027214361016153744,39536.4881422535
18,0.04728019538750845,63232.66850258577
19,0.026135146611690675,44365.56142874334
20,0.03073760610305589,90166.03088608288
21,0.04237251080241745,32820.644114603674
22,0.031016601920774278,42278.67193342413
23,0.02981099483670795,55889.84055224206
24,0.035263652855905145,59379.911237219705
25,0.02239478913587819,18975.29946826902
26,0.020464842774959253,29001.74181516546
27,0.031569943133261814,66283.74894269483
28,0.05603745682836784,80308.19122353164
29,0.05370658923055638,34575.325902596254
30,0.04566049185027902,26694.014223617163
31,0.024868599593299706,37716.20949642801
32,0.02420329047280487,34981.59749877865
33,0.0490000364911828,16470.71459079285
34,0.019652152658656098,23327.830439522953
35,0.06607893658101974,65464.302063226925
36,0.0985458802776709,30921.723885216034
37,0.026206996882911594,17637.76053569371
38,0.04994329292621579,25567.910557044772
39,0.034550746021902626,68354.40248433429
40,0.02707414995581241,37897.53570042529
41,0.043467030024994996,77726.14794956536
42,0.047136638313873436,30052.555689239
43,0.02072417319076917,16272.279040192272
44,0.05359094714169854,21714.96887185521
45,0.03330051241766077,33633.40426162378
